number,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,planet_discovery_method,planet_orbital_inclination,planet_density,right_ascension,declination,host_temperature,host_mass,host_radius,gravitation
718,HD 219134 f,21.0,2319.94,5.57,2015,Super Earth,14.671999999999999,0.1463 AU,22.7 days,0.15,HD 219134,Radial Velocity,,,23h13m16.98s,+57d10m06.1s,4699.0,0.81,0.78,105.82515361073158
720,HD 219134 h,21.0,108.052,5.57,2015,Gas Giant,12.767999999999999,3.11 AU,6.2 years,0.06,HD 219134,Radial Velocity,,,23h13m16.98s,+57d10m06.1s,4699.0,0.81,0.78,6.5084542006463515
721,HD 219415 b,541.0,317.8,8.94,2012,Gas Giant,13.776,3.2 AU,5.7 years,0.4,HD 219415,Radial Velocity,,,23h14m53.83s,+56d43m49.2s,4820.0,1.0,2.9,16.443657251869215
723,HD 219828 b,239.0,6666.420684000001,8.04,2007,Neptune-like,4.8496,0.0507 AU,3.8 days,0.1,HD 219828,Radial Velocity,,,23h18m46.74s,+18d38m44.6s,5807.0,1.18,1.61,2783.3746625195245
724,HD 219828 c,239.0,4639.88,8.04,2016,Gas Giant,12.208,5.79 AU,12.8 years,0.81,HD 219828,Radial Velocity,,,23h18m46.74s,+18d38m44.6s,5807.0,1.18,1.61,305.70919301637304
725,HD 220074 b,1068.0,5288.192,6.4,2012,Gas Giant,12.208,1.6 AU,1.8 years,0.14,HD 220074,Radial Velocity,,,23h20m14.38s,+61d58m12.5s,3787.0,2.2,54.92,348.4247240953731
726,HD 220197 b,210.0,63.56,9.0,2018,Gas Giant,9.318399999999999,2.729 AU,4.7 years,0.19,HD 220197,Radial Velocity,,,23h21m58.29s,+16d37m57.1s,5683.0,0.91,0.98,7.18773375564931
727,HD 220689 b,153.0,355.3004,7.795,2012,Gas Giant,13.776,3.396 AU,6.2 years,0.05,HD 220689,Radial Velocity,,,23h25m52.99s,-20d36m57.7s,5921.0,1.02,1.07,18.38400880758978
728,HD 220773 b,160.0,460.81,7.093,2011,Gas Giant,13.552,4.94 AU,10.2 years,0.51,HD 220773,Radial Velocity,,,23h26m27.44s,+08d38m37.8s,5940.0,1.16,,24.638025498061438
729,HD 220842 b,204.0,1010.604,7.99,2016,Gas Giant,13.104,0.74 AU,218.5 days,0.4,HD 220842,Radial Velocity,,,23h26m36.99s,+56d53m11.5s,5960.0,1.13,,57.791509094311
730,HD 221287 b,183.0,982.002,7.807,2007,Gas Giant,13.104,1.25 AU,456.1 days,0.08,HD 221287,Radial Velocity,,,23h31m20.34s,-58d12m35.0s,6304.0,1.25,,56.1559003463588
731,HD 221416 b,310.0,60.382000000000005,8.146,2019,Gas Giant,9.363199999999999,0.1228 AU,14.3 days,0.12,HD 221416,Transit,85.75,0.431,23h32m08.07s,-21d48m05.1s,5080.0,1.21,2.94,6.763160356772766
732,HD 221420 b,102.0,3082.66,5.81,2019,Gas Giant,12.432,18.5 AU,61.6 years,0.42,HD 221420,Radial Velocity,,,23h33m19.58s,-77d23m07.2s,5830.0,1.67,,195.85488827743157
733,HD 221585 b,182.0,511.6580000000001,7.465,2016,Gas Giant,13.552,2.306 AU,3.2 years,0.12,HD 221585,Radial Velocity,,,23h32m54.05s,+63d09m19.7s,5620.0,1.19,,27.356704173709602
734,HD 222076 b,298.0,495.76800000000003,7.459,2016,Gas Giant,13.552,1.83 AU,2.4 years,0.08,HD 222076,Radial Velocity,,,23h38m07.95s,-70d54m12.1s,4806.0,1.07,4.1,26.507117087569547
735,HD 222155 b,165.0,673.7360000000001,7.114,2011,Gas Giant,13.328,5.14 AU,11 years,0.16,HD 222155,Radial Velocity,,,23h38m00.31s,+48d59m47.5s,5701.0,1.21,1.85,37.243507661512766
736,HD 222582 b,138.0,2659.986,7.68,1999,Gas Giant,12.544,1.34 AU,1.6 years,0.73,HD 222582,Radial Velocity,,,23h41m51.53s,-05d59m08.7s,5790.0,1.12,1.13,165.996163744957
737,HD 224538 b,258.0,1897.266,8.06,2016,Gas Giant,12.767999999999999,2.28 AU,3.3 years,0.46,HD 224538,Radial Velocity,,,23h58m51.76s,-61d35m12.4s,6097.0,1.34,1.54,114.280798758408
738,HD 224693 b,306.0,222.46,8.23,2006,Gas Giant,14.0,0.191 AU,26.7 days,0.1,HD 224693,Radial Velocity,,,23h59m53.83s,-22d25m41.2s,5894.0,1.31,1.93,11.145168857246114
739,HD 22781 b,106.0,4337.97,8.766,2011,Gas Giant,12.32,1.167 AU,1.4 years,0.82,HD 22781,Radial Velocity,,,03h40m49.53s,+31d49m34.6s,5027.0,0.75,,280.64410216464256
740,HD 23079 b,109.0,829.458,7.12,2001,Gas Giant,13.216,1.6 AU,2 years,0.1,HD 23079,Radial Velocity,,,03h39m43.09s,-52d54m57.0s,5974.0,1.12,1.07,46.632116947056275
741,HD 23127 b,307.0,485.2806,8.576,2006,Gas Giant,13.552,2.37 AU,3.3 years,0.41,HD 23127,Radial Velocity,,,03h39m23.64s,-60d04m40.2s,5843.0,1.21,1.49,25.946389610717116
742,HD 231701 b,356.0,359.114,8.97,2007,Gas Giant,13.664,0.567 AU,141.6 days,0.13,HD 231701,Radial Velocity,,,19h32m04.16s,+16d28m27.4s,6101.0,1.21,1.53,18.88719311588203
743,HD 233604 b,2833.0,2089.5350000000003,10.405999999999999,2013,Gas Giant,12.655999999999999,0.747 AU,192 days,0.05,HD 233604,Radial Velocity,,,09h09m48.81s,+53d34m05.6s,4791.0,1.5,10.9,128.09952192459912
744,HD 233832 b,192.0,565.6840000000001,10.146,2018,Gas Giant,13.44,2.827 AU,5.6 years,0.36,HD 233832,Radial Velocity,,,11h26m05.49s,+50d22m32.8s,4981.0,0.71,0.68,30.751488972436267
746,HD 23472 c,127.0,5459.804,9.724,2019,Neptune-like,4.311999999999999,0.17 AU,29.6 days,0.0,HD 23472,Transit,,,03h41m50.40s,-62d46m01.5s,,0.75,0.73,2883.436151716266
747,HD 23596 b,170.0,2869.734,7.244,2003,Gas Giant,12.544,2.77 AU,4.3 years,0.27,HD 23596,Radial Velocity,,,03h48m00.37s,+40d31m50.3s,6040.0,1.47,1.53,179.08546697932633
748,HD 238914 b,1720.0,1906.8000000000002,8.79,2018,Gas Giant,12.767999999999999,5.7 AU,11.2 years,0.56,HD 238914,Radial Velocity,,,18h38m20.21s,+59d15m13.9s,4769.0,1.47,12.73,114.85507412905326
749,HD 240210 b,466.0,1655.738,8.33,2009,Gas Giant,12.767999999999999,1.16 AU,1.4 years,0.15,HD 240210,Radial Velocity,,,23h10m29.23s,+57d01m46.0s,4297.0,0.82,,99.73248936872791
750,HD 240237 b,3126.0,5049.842000000001,8.19,2011,Gas Giant,12.208,1.92 AU,2 years,0.4,HD 240237,Radial Velocity,,,23h15m42.22s,+58d02m35.7s,3926.0,8.76,71.23,332.72048472809365
751,HD 24040 b,152.0,1226.708,7.492999999999999,2006,Gas Giant,12.991999999999999,4.92 AU,10 years,0.04,HD 24040,Radial Velocity,,,03h50m22.97s,+17d28m34.9s,5802.0,1.11,1.3,71.36412823834894
752,HD 24064 b,988.0,4096.442,6.75,2015,Gas Giant,12.32,1.29 AU,1.5 years,0.35,HD 24064,Radial Velocity,,,03h56m36.30s,+74d04m48.1s,4052.0,1.61,40.0,265.0184964763548
754,HD 25015 b,122.0,1423.7440000000001,8.87,2019,Gas Giant,12.879999999999999,6.19 AU,16.5 years,0.39,HD 25015,Radial Velocity,,,03h57m43.92s,-20d16m04.1s,5160.0,0.86,0.83,84.27348852360011
755,HD 25171 b,182.0,290.78700000000003,7.782,2010,Gas Giant,13.888,2.971 AU,4.9 years,0.04,HD 25171,Radial Velocity,,,03h55m49.44s,-65d11m12.0s,6125.0,1.08,1.23,14.804248365350505
756,HD 2638 b,180.0,133.476,9.375,2005,Gas Giant,14.335999999999999,0.04 AU,3.4 days,0.0,HD 2638,Radial Velocity,,,00h29m59.87s,-05d45m50.4s,5186.0,0.77,0.94,6.37731677469985
757,HD 2685 b,646.0,371.82599999999996,9.52,2019,Gas Giant,16.128,0.0568 AU,4.1 days,0.09,HD 2685,Transit,89.25200000000001,,00h29m18.95s,-76d18m14.62s,6801.0,1.43,1.56,14.036845387699135
759,HD 27442 b,60.0,495.76800000000003,4.44,2000,Gas Giant,13.552,1.271 AU,428.1 days,0.06,HD 27442,Radial Velocity,,,04h16m29.03s,-59d18m07.8s,4846.0,1.23,,26.507117087569547
760,HD 27631 b,164.0,474.7932,8.243,2012,Gas Giant,13.552,3.242 AU,6 years,0.14,HD 27631,Radial Velocity,,,04h19m45.47s,-41d57m37.0s,5737.0,0.94,0.92,25.38566213386468
761,HD 27894 b,143.0,211.33700000000002,9.349,2005,Gas Giant,14.0,0.125 AU,18 days,0.05,HD 27894,Radial Velocity,,,04h20m47.05s,-59d24m39.0s,,0.8,,10.587910414383808
762,HD 27894 c,143.0,51.4836,9.349,2017,Gas Giant,8.232,0.198 AU,36.1 days,0.02,HD 27894,Radial Velocity,,,04h20m47.05s,-59d24m39.0s,,0.8,,7.46017431094299
763,HD 27894 d,143.0,1720.8870000000002,9.349,2017,Gas Giant,12.767999999999999,5.448 AU,14.2 years,0.39,HD 27894,Radial Velocity,,,04h20m47.05s,-59d24m39.0s,,0.8,,103.65670440147059
764,HD 28185 b,129.0,1875.0200000000002,7.81,2001,Gas Giant,12.767999999999999,1.02 AU,379 days,0.05,HD 28185,Radial Velocity,,,04h26m26.32s,-10d33m03.0s,5662.0,1.02,1.03,112.94082289356906
765,HD 28254 b,178.0,368.64799999999997,7.684,2010,Gas Giant,13.664,2.15 AU,3.1 years,0.81,HD 28254,Radial Velocity,,,04h24m50.71s,-50d37m19.9s,5664.0,1.06,1.48,19.38862302161341
766,HD 285507 b,147.0,311.444,10.267000000000001,2013,Gas Giant,13.776,0.06 AU,6.1 days,0.09,HD 285507,Radial Velocity,,,04h07m01.22s,+15d20m06.1s,4503.0,0.82,0.69,16.114784106831827
768,HD 28678 b,623.0,490.04760000000005,8.38,2011,Gas Giant,13.552,1.18 AU,380.2 days,0.15,HD 28678,Radial Velocity,,,04h31m25.45s,+04d34m31.0s,4972.0,1.53,6.48,26.20126573655913
769,HD 29021 b,101.0,762.72,7.76,2017,Gas Giant,13.216,2.28 AU,3.7 years,0.46,HD 29021,Radial Velocity,,,04h37m52.22s,+60d40m34.3s,5560.0,0.85,0.85,42.88010753752301
770,HD 290327 b,184.0,772.2540000000001,8.99,2009,Gas Giant,13.216,3.43 AU,6.7 years,0.08,HD 290327,Radial Velocity,,,05h23m21.56s,-02d16m39.4s,5505.0,0.84,0.95,43.416108881742055
771,HD 2952 b,360.0,435.386,5.922000000000001,2013,Gas Giant,13.552,1.23 AU,311.6 days,0.13,HD 2952,Radial Velocity,,,00h33m10.39s,+54d53m41.9s,4844.0,1.97,10.76,23.27868616023736
772,HD 30177 b,182.0,2740.0716,8.397,2002,Gas Giant,12.544,3.704 AU,6.9 years,0.16,HD 30177,Radial Velocity,,,04h41m54.37s,-58d01m14.7s,5607.0,1.05,1.02,170.99389770717073
773,HD 30177 c,182.0,2415.28,8.397,2016,Gas Giant,12.655999999999999,9.89 AU,31.8 years,0.22,HD 30177,Radial Velocity,,,04h41m54.37s,-58d01m14.7s,5607.0,1.05,1.02,148.06940937292063
774,HD 30562 b,85.0,387.716,5.78,2009,Gas Giant,13.664,2.34 AU,3.2 years,0.76,HD 30562,Radial Velocity,,,04h48m36.38s,-05d40m26.6s,5882.0,1.12,1.61,20.391482833076175
775,HD 30669 b,186.0,149.36599999999999,9.11,2014,Gas Giant,14.223999999999998,2.69 AU,4.6 years,0.18,HD 30669,Radial Velocity,,,04h48m28.49s,-28d25m09.5s,5400.0,0.92,0.91,7.249349777720801
776,HD 30856 b,430.0,491.6366,7.91,2011,Gas Giant,13.552,1.85 AU,2.3 years,0.06,HD 30856,Radial Velocity,,,04h50m17.86s,-24d22m07.8s,4895.0,1.17,4.4,26.286224445173133
777,HD 31253 b,190.0,197.036,7.132999999999999,2010,Gas Giant,14.111999999999998,1.26 AU,466 days,0.3,HD 31253,Radial Velocity,,,04h54m43.65s,+12d21m07.9s,6130.0,1.7,1.75,9.715367608301097
779,HD 31527 c,126.0,4500.048,7.49,2019,Neptune-like,3.8416,0.2663 AU,51.2 days,0.04,HD 31527,Radial Velocity,,,04h55m38.38s,-23d14m30.8s,5898.0,0.96,,2994.219621398885
781,HD 3167 b,154.0,1595.356,8.94,2016,Super Earth,19.04,0.0186 AU,1 days,0.0,HD 3167,Transit,,,00h34m57.52s,+04d22m53.3s,5528.0,0.94,0.87,43.2130095027307
783,HD 3167 d,154.0,2192.82,8.94,2017,Neptune-like,2.52,0.07757 AU,8.5 days,0.36,HD 3167,Radial Velocity,,,00h34m57.52s,+04d22m53.3s,5528.0,0.94,0.87,3390.725975088104
784,HD 32518 b,400.0,966.1120000000001,6.421,2009,Gas Giant,13.104,0.59 AU,157.5 days,0.01,HD 32518,Radial Velocity,,,05h09m36.72s,+69d38m21.9s,4580.0,1.13,10.22,55.24722881971871
785,HD 32963 b,124.0,222.46,7.6,2015,Gas Giant,14.0,3.41 AU,6.5 years,0.07,HD 32963,Radial Velocity,,,05h07m55.76s,+26d19m40.7s,5727.0,0.94,,11.145168857246114
786,HD 330075 b,148.0,152.544,9.334,2004,Gas Giant,14.223999999999998,0.04 AU,3.4 days,0.0,HD 330075,Radial Velocity,,,15h49m37.69s,-49d57m48.7s,5000.0,0.47,0.84,7.40359126235316
787,HD 33142 b,397.0,440.153,7.96,2011,Gas Giant,13.552,1.07 AU,326 days,0.07,HD 33142,Radial Velocity,,,05h07m35.54s,-13d59m11.3s,4978.0,1.41,4.45,23.533562286079373
788,HD 33142 c,397.0,1897.266,7.96,2018,Gas Giant,12.767999999999999,Unknown,2.3 years,0.05,HD 33142,Radial Velocity,,,05h07m35.54s,-13d59m11.3s,4978.0,1.41,4.45,114.280798758408
789,HD 332231 b,264.0,77.5432,8.56,2020,Gas Giant,9.7104,0.1436 AU,18.7 days,0.03,HD 332231,Transit,89.68,0.464,20h26m57.92s,+33d44m40.02s,6089.0,1.13,1.28,8.07532983687418
790,HD 33283 b,294.0,104.5562,8.05,2006,Gas Giant,12.544,0.1508 AU,18.2 days,0.4,HD 33283,Radial Velocity,,,05h08m01.01s,-26d47m50.9s,5935.0,1.38,1.97,6.524819339556852
791,HD 33564 b,68.0,2891.98,5.08,2005,Gas Giant,12.544,1.1 AU,388 days,0.34,HD 33564,Radial Velocity,,,05h22m33.53s,+79d13m52.1s,6250.0,1.25,,180.4737264132746
792,HD 33844 b,346.0,638.7779999999999,7.2860000000000005,2015,Gas Giant,13.328,1.6 AU,1.5 years,0.15,HD 33844,Radial Velocity,,,05h12m36.10s,-14d57m04.0s,4861.0,1.84,5.39,35.31106150926445
793,HD 33844 c,346.0,556.15,7.2860000000000005,2015,Gas Giant,13.44,2.24 AU,2.5 years,0.13,HD 33844,Radial Velocity,,,05h12m36.10s,-14d57m04.0s,4861.0,1.84,5.39,30.233205450428915
794,HD 34445 b,151.0,260.596,7.327999999999999,2009,Gas Giant,13.888,2.07 AU,2.9 years,0.27,HD 34445,Radial Velocity,,,05h17m40.98s,+07d21m12.0s,5879.0,1.14,1.38,13.267195256379685
795,HD 34445 c,151.0,53.39040000000001,7.327999999999999,2017,Gas Giant,8.4224,0.7181 AU,214.7 days,0.04,HD 34445,Radial Velocity,,,05h17m40.98s,+07d21m12.0s,5879.0,1.14,1.38,7.39064325180245
797,HD 34445 e,151.0,5339.04,7.327999999999999,2017,Neptune-like,4.255999999999999,0.2687 AU,49.2 days,0.09,HD 34445,Radial Velocity,,,05h17m40.98s,+07d21m12.0s,5879.0,1.14,1.38,2894.3478680521425
799,HD 34445 g,151.0,120.76400000000001,7.327999999999999,2017,Gas Giant,13.552,6.36 AU,15.6 years,0.03,HD 34445,Radial Velocity,,,05h17m40.98s,+07d21m12.0s,5879.0,1.14,1.38,6.456861854664378
800,HD 35759 b,236.0,1194.9279999999999,7.74,2016,Gas Giant,12.991999999999999,0.389 AU,82.5 days,0.39,HD 35759,Radial Velocity,,,05h31m33.35s,+64d19m07.6s,6060.0,1.15,,69.51531662595646
801,HD 3651 b,36.0,72.45840000000001,5.86,2003,Gas Giant,10.0688,0.295 AU,62.3 days,0.65,HD 3651,Radial Velocity,,,00h39m21.81s,+21d15m01.7s,5221.0,0.8,,7.0181735296646135
802,HD 37124 b,103.0,214.51500000000001,7.7,2002,Gas Giant,14.0,0.53364 AU,154.4 days,0.05,HD 37124,Radial Velocity,,,05h37m02.49s,+20d43m50.8s,,0.85,,10.747127112344467
803,HD 37124 c,103.0,207.2056,7.7,2002,Gas Giant,14.0,1.71 AU,2.4 years,0.13,HD 37124,Radial Velocity,,,05h37m02.49s,+20d43m50.8s,,0.85,,10.380928707034952
804,HD 37124 d,103.0,221.1888,7.7,2005,Gas Giant,14.0,2.807 AU,5.1 years,0.16,HD 37124,Radial Velocity,,,05h37m02.49s,+20d43m50.8s,,0.85,,11.081482178061847
805,HD 37605 b,153.0,854.8820000000001,8.67,2004,Gas Giant,13.216,0.277 AU,55 days,0.67,HD 37605,Radial Velocity,,,05h40m01.73s,+06d03m38.1s,5329.0,0.94,0.91,48.06145386497371
806,HD 37605 c,153.0,1013.782,8.67,2012,Gas Giant,13.104,3.74 AU,7.5 years,0.03,HD 37605,Radial Velocity,,,05h40m01.73s,+06d03m38.1s,5329.0,0.94,0.91,57.973243399639024
807,HD 38283 b,124.0,127.12,6.696000000000001,2010,Gas Giant,14.0,1.02 AU,363.2 days,0.41,HD 38283,Radial Velocity,,,05h37m02.02s,-73d41m57.6s,5981.0,1.37,1.49,6.36866791842635
808,HD 38529 b,138.0,253.28660000000002,5.95,2000,Gas Giant,13.888,0.1294 AU,14.3 days,0.28,HD 38529,Radial Velocity,,,05h46m34.91s,+01d10m05.5s,5541.0,1.41,2.56,12.89506660894465
809,HD 38529 c,138.0,4128.222000000001,5.95,2000,Gas Giant,12.32,3.64 AU,5.9 years,0.34,HD 38529,Radial Velocity,,,05h46m34.91s,+01d10m05.5s,5541.0,1.41,2.56,267.0744972248137
810,HD 38801 b,299.0,3082.0244000000002,8.224,2009,Gas Giant,12.432,1.623 AU,1.9 years,0.02,HD 38801,Radial Velocity,,,05h47m59.18s,-08d19m39.7s,5338.0,1.21,2.03,195.81450582624035
811,HD 39091 b,60.0,4099.62,5.67,2001,Gas Giant,12.32,3.1 AU,5.7 years,0.64,HD 39091,Radial Velocity,,,05h37m09.89s,-80d28m08.8s,6037.0,1.09,1.1,265.22409655120066
813,HD 40307 b,42.0,1271.2,7.17,2009,Super Earth,20.496,0.0468 AU,4.3 days,0.2,HD 40307,Radial Velocity,,,05h54m04.24s,-60d01m24.5s,4956.0,0.77,,29.714364784081866
815,HD 40307 d,42.0,3019.1,7.17,2009,Neptune-like,3.0464,0.1321 AU,20.4 days,0.07,HD 40307,Radial Velocity,,,05h54m04.24s,-60d01m24.5s,4956.0,0.77,,3194.4377978394355
817,HD 40307 g,42.0,2256.38,7.17,2013,Neptune-like,2.5648,0.6 AU,197.8 days,0.29,HD 40307,Radial Velocity,,,05h54m04.24s,-60d01m24.5s,4956.0,0.77,,3368.185661984055
818,HD 40956 b,382.0,858.0600000000001,6.422999999999999,2017,Gas Giant,13.216,1.4 AU,1.6 years,0.24,HD 40956,Radial Velocity,,,06h06m39.16s,+63d27m13.8s,4869.0,2.0,8.56,48.24012097971338
819,HD 40979 b,111.0,1484.126,6.735,2002,Gas Giant,12.879999999999999,0.85 AU,264.1 days,0.25,HD 40979,Radial Velocity,,,06h04m29.94s,+44d15m37.6s,6165.0,1.45,1.21,87.84758736723492
820,HD 41004 A b,140.0,807.212,8.65,2004,Gas Giant,13.216,Unknown,2.6 years,0.74,HD 41004 A,Radial Velocity,,,05h59m49.65s,-48d14m22.9s,5010.0,0.7,,45.38144714387852
821,HD 41004 B b,140.0,5837.986000000001,,2003,Gas Giant,12.096,Unknown,1.3 days,0.08,HD 41004 B,Radial Velocity,,,05h59m49.65s,-48d14m23.4s,,0.4,,391.8052798055585
822,HD 4113 b,137.0,495.76800000000003,7.881,2007,Gas Giant,13.552,1.28 AU,1.4 years,0.9,HD 4113,Radial Velocity,,,00h43m12.60s,-37d58m57.5s,5688.0,0.99,,26.507117087569547
823,HD 42012 b,120.0,508.48,8.44,2017,Gas Giant,13.552,1.67 AU,2.3 years,< 0.2,HD 42012,Radial Velocity,,,06h09m56.47s,+34d08m07.1s,5405.0,0.83,0.82,27.186786756481588
824,HD 4203 b,266.0,708.6940000000001,8.687000000000001,2001,Gas Giant,13.328,1.17 AU,431.9 days,0.52,HD 4203,Radial Velocity,,,00h44m41.20s,+20d26m56.1s,5596.0,1.25,1.42,39.17595381376107
825,HD 4203 c,266.0,689.626,8.687000000000001,2014,Gas Giant,13.328,6.95 AU,18.4 years,0.24,HD 4203,Radial Velocity,,,00h44m41.20s,+20d26m56.1s,5596.0,1.25,1.42,38.121892276171074
826,HD 4208 b,112.0,257.418,7.795,2001,Gas Giant,13.888,1.662 AU,2.3 years,0.04,HD 4208,Radial Velocity,,,00h44m26.65s,-26d30m56.4s,5717.0,0.88,0.85,13.105400192277497
828,HD 4308 b,72.0,5050.318700000001,6.56,2005,Neptune-like,4.1216,0.12 AU,15.6 days,0.0,HD 4308,Radial Velocity,,,00h44m39.27s,-65d38m58.3s,5686.0,0.93,1.02,2919.294396259398
829,HD 4313 b,446.0,612.4006,7.83,2009,Gas Giant,13.44,1.157 AU,356.2 days,0.15,HD 4313,Radial Velocity,,,00h45m40.36s,+07d50m42.1s,4943.0,1.63,5.14,33.2910782302723
830,HD 43197 b,184.0,190.68,8.98,2010,Gas Giant,14.111999999999998,0.92 AU,327.8 days,0.83,HD 43197,Radial Velocity,,,06h13m35.66s,-29d53m50.2s,5508.0,0.96,1.0,9.40196865319461
831,HD 43691 b,280.0,810.39,8.03,2007,Gas Giant,13.216,0.238 AU,37 days,0.08,HD 43691,Radial Velocity,,,06h19m34.68s,+41d05m32.3s,6093.0,1.32,1.6,45.5601142586182
832,HD 44219 b,164.0,184.32399999999998,7.69,2010,Gas Giant,14.111999999999998,1.19 AU,472.3 days,0.61,HD 44219,Radial Velocity,,,06h20m14.32s,-10d43m30.0s,5752.0,1.0,1.32,9.08856969808812
834,HD 45184 c,71.0,2799.818,6.37,2019,Neptune-like,2.912,0.11 AU,13.1 days,0.07,HD 45184,Radial Velocity,,,06h24m43.88s,-28d46m48.4s,5869.0,1.03,,3242.1854406282446
835,HD 45350 b,153.0,568.8620000000001,7.885,2004,Gas Giant,13.44,1.92 AU,2.6 years,0.78,HD 45350,Radial Velocity,,,06h28m45.71s,+38d57m46.7s,5616.0,1.02,,30.924250146438723
836,HD 45364 b,112.0,59.492160000000005,8.062000000000001,2008,Gas Giant,8.959999999999999,0.6813 AU,226.9 days,0.17,HD 45364,Radial Velocity,,,06h25m38.48s,-31d28m51.4s,5434.0,0.82,,7.276700648983234
837,HD 45364 c,112.0,209.08062,8.062000000000001,2008,Gas Giant,14.0,0.8972 AU,342.9 days,0.1,HD 45364,Radial Velocity,,,06h25m38.48s,-31d28m51.4s,5434.0,0.82,,10.47486655883174
838,HD 45652 b,114.0,137.6074,8.1,2008,Gas Giant,14.335999999999999,0.237 AU,44.1 days,0.61,HD 45652,Radial Velocity,,,06h29m13.19s,+10d56m02.0s,5294.0,0.92,0.94,6.574709912964369
839,HD 46375 b,96.0,71.8228,7.912000000000001,2000,Gas Giant,10.0128,0.0398 AU,3 days,0.06,HD 46375,Radial Velocity,,,06h33m12.62s,+05d27m46.5s,5285.0,0.92,,7.034642642142948
841,HD 47186 c,122.0,111.423858,7.626,2008,Gas Giant,12.991999999999999,2.395 AU,3.7 years,0.25,HD 47186,Radial Velocity,,,06h36m08.79s,-27d37m20.3s,5657.0,0.96,1.08,6.4821183942092
842,HD 4732 b,179.0,753.186,5.89,2012,Gas Giant,13.328,1.19 AU,360.2 days,0.13,HD 4732,Radial Velocity,,,00h49m13.95s,-24d08m12.0s,4959.0,1.74,5.4,41.63543073480436
843,HD 4732 c,179.0,753.186,5.89,2012,Gas Giant,13.328,4.6 AU,7.5 years,0.23,HD 4732,Radial Velocity,,,00h49m13.95s,-24d08m12.0s,4959.0,1.74,5.4,41.63543073480436
844,HD 47366 b,276.0,730.9399999999999,6.11,2016,Gas Giant,13.328,1.28 AU,359.2 days,0.06,HD 47366,Radial Velocity,,,06h37m40.79s,-12d59m06.4s,4914.0,2.19,6.2,40.40569227428271
845,HD 47366 c,276.0,597.4639999999999,6.11,2016,Gas Giant,13.44,1.97 AU,1.9 years,0.1,HD 47366,Radial Velocity,,,06h37m40.79s,-12d59m06.4s,4914.0,2.19,6.2,32.47910071246077
846,HD 47536 b,401.0,2326.2960000000003,5.25,2002,Gas Giant,12.655999999999999,1.93 AU,2 years,0.2,HD 47536,Radial Velocity,,,06h37m47.62s,-32d20m23.0s,4424.0,0.91,22.39,142.61422060654985
847,HD 48265 b,296.0,484.645,8.051,2008,Gas Giant,13.552,1.814 AU,2.1 years,0.21,HD 48265,Radial Velocity,,,06h40m01.73s,-48d32m31.0s,5733.0,1.31,1.9,25.912406127271513
848,HD 4917 b,670.0,513.2470000000001,8.03,2018,Gas Giant,13.552,1.167 AU,400.5 days,0.07,HD 4917,Radial Velocity,,,00h51m06.28s,-12d55m39.4s,4802.0,1.32,5.01,27.441662882323605
850,HD 50499 b,151.0,519.9208,7.207000000000001,2005,Gas Giant,13.44,3.833 AU,6.7 years,0.27,HD 50499,Radial Velocity,,,06h52m02.03s,-33d54m56.0s,6102.0,1.25,1.35,28.263728066800972
851,HD 50499 c,151.0,931.1540000000001,7.207000000000001,2019,Gas Giant,13.104,9.02 AU,23.6 years,0.0,HD 50499,Radial Velocity,,,06h52m02.03s,-33d54m56.0s,6102.0,1.25,1.35,53.24815146111045
852,HD 50554 b,102.0,1574.3812,6.84,2002,Gas Giant,12.879999999999999,2.353 AU,3.5 years,0.5,HD 50554,Radial Velocity,,,06h54m42.82s,+24d14m44.0s,5987.0,1.04,1.02,93.18992458614171
854,HD 51608 c,114.0,4547.718000000001,8.17,2019,Neptune-like,3.8751999999999995,0.3809 AU,95.9 days,0.14,HD 51608,Radial Velocity,,,06h54m51.34s,-55d15m33.6s,5358.0,0.8,,2973.6926191687876
855,HD 52265 b,98.0,384.538,6.3,2000,Gas Giant,13.664,0.52 AU,119.3 days,0.27,HD 52265,Radial Velocity,,,07h00m18.04s,-05d22m01.8s,6136.0,1.2,,20.224339531165715
856,HD 5319 b,397.0,494.4968,8.05,2007,Gas Giant,13.552,1.57 AU,1.7 years,0.09,HD 5319,Radial Velocity,,,00h55m01.40s,+00d47m22.4s,4871.0,1.27,4.06,26.439150120678338
857,HD 5319 c,397.0,334.6434,8.05,2014,Gas Giant,13.776,1.93 AU,2.4 years,0.18,HD 5319,Radial Velocity,,,00h55m01.40s,+00d47m22.4s,4871.0,1.27,4.06,17.315171086218278
858,HD 55696 b,255.0,1229.886,7.95,2018,Gas Giant,12.991999999999999,3.18 AU,5 years,0.71,HD 55696,Radial Velocity,,,07h12m14.97s,-38d10m28.3s,6012.0,1.29,1.52,71.54900939958817
859,HD 5583 b,721.0,1836.8840000000002,7.6,2016,Gas Giant,12.767999999999999,0.53 AU,139.4 days,0.08,HD 5583,Radial Velocity,,,00h57m56.70s,+34d59m08.0s,4830.0,1.01,9.09,110.64372141098798
860,HD 5608 b,190.0,534.2218,5.99,2012,Gas Giant,13.44,1.911 AU,2.1 years,0.06,HD 5608,Radial Velocity,,,00h58m14.22s,+33d57m03.2s,4877.0,1.53,5.14,29.041153349812003
