number,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,planet_discovery_method,planet_orbital_inclination,planet_density,right_ascension,declination,host_temperature,host_mass,host_radius,gravitation
4063,TrES-3 b,744.0,606.998,12.402000000000001,2007,Gas Giant,14.9632,0.02282 AU,1.3 days,0.0,TrES-3,Transit,81.85,0.994,17h52m07.02s,+37d32m46.2s,5650.0,0.93,0.83,26.62128958641517
4064,TrES-4 b,1708.0,247.88400000000001,11.592,2007,Gas Giant,18.032,0.05084 AU,3.6 days,0.0,TrES-4,Transit,82.81,,17h53m13.04s,+37d12m42.7s,6200.0,1.08,1.66,7.486028727269506
4065,TrES-5 b,1188.0,568.8620000000001,13.718,2011,Gas Giant,13.372799999999998,0.02459 AU,1.5 days,< 0.03,TrES-5,Transit,84.27,1.31,20h20m53.24s,+59d26m55.6s,5171.0,0.9,0.87,31.235827526010684
4066,TYC 1422-614-1 b,2476.0,794.5,10.21,2014,Gas Giant,13.216,0.69 AU,198.4 days,0.06,TYC 1422-614-1,Radial Velocity,,,10h17m06.67s,+19d33m30.5s,4806.0,1.15,6.85,44.6667786849198
4067,TYC 1422-614-1 c,2476.0,3178.0,10.21,2014,Gas Giant,12.432,1.37 AU,1.5 years,0.05,TYC 1422-614-1,Radial Velocity,,,10h17m06.67s,+19d33m30.5s,4806.0,1.15,6.85,201.91225595611502
4068,TYC 3318-01333-1 b,1623.0,1086.876,9.463,2018,Gas Giant,13.104,1.414 AU,1.5 years,0.1,TYC 3318-01333-1,Radial Velocity,,,03h02m19.79s,+49d44m39.0s,4776.0,1.19,5.9,62.153132422183525
4069,TYC 3667-1280-1 b,1569.0,1716.1200000000001,9.86,2016,Gas Giant,12.767999999999999,0.21 AU,26.5 days,0.04,TYC 3667-1280-1,Radial Velocity,,,00h51m32.96s,+58d25m34.2s,5130.0,1.87,6.26,103.36956671614793
4070,TYC 4282-00605-1 b,2283.0,3425.884,10.58,2017,Gas Giant,12.432,0.422 AU,101.5 days,0.28,TYC 4282-00605-1,Radial Velocity,,,22h55m29.21s,+62d14m21.1s,4300.0,0.97,16.21,217.661411920692
4071,TYC 8998-760-1 b,309.0,4449.2,11.13,2020,Gas Giant,12.32,162.0 AU,2063.1 years,0.0,TYC 8998-760-1,Imaging,,,13h25m12.13s,-64d56m20.69s,,1.0,,287.8401047842488
4072,TYC 8998-760-1 c,309.0,1906.8000000000002,11.13,2020,Gas Giant,12.32,320.0 AU,5727.6 years,0.0,TYC 8998-760-1,Imaging,,,13h25m12.13s,-64d56m20.69s,,1.0,,123.3600449075352
4073,UKIRT-2017-BLG-001L b,20551.0,406.78400000000005,,2018,Gas Giant,13.664,4.18 AU,9.5 years,0.0,UKIRT-2017-BLG-001L,Microlensing,,,17h46m36.98s,-29d12m40.9s,,0.81,,21.394342644538945
4074,Upsilon Andromedae b,44.0,218.51928,4.1,1996,Gas Giant,14.0,0.059222 AU,4.6 days,0.02,ups And,Radial Velocity,,,01h36m47.84s,+41d24m19.7s,,1.3,1.56,10.947740151774896
4075,Upsilon Andromedae c,44.0,629.5618000000001,4.1,1999,Gas Giant,13.328,0.827774 AU,241.3 days,0.26,ups And,Radial Velocity,,,01h36m47.84s,+41d24m19.7s,,1.3,1.56,34.80159843276263
4076,Upsilon Andromedae d,44.0,1313.1496,4.1,1999,Gas Giant,12.991999999999999,2.51329 AU,3.5 years,0.3,ups And,Radial Velocity,,,01h36m47.84s,+41d24m19.7s,,1.3,1.56,76.39289582405642
4077,USco1556 b,460.0,4767.0,15.360999999999999,2019,Gas Giant,12.208,3500.0 AU,360656.2 years,0.0,USco CTIO 108,Imaging,,,16h05m54.08s,-18d18m44.4s,2700.0,0.06,,314.0847873455887
4078,USco1621 b,450.0,5084.8,14.177,2019,Gas Giant,12.208,2880.0 AU,257742.3 years,0.0,USco1556 A,Imaging,,,15h56m24.92s,-25d41m20.2s,3410.0,0.33,,335.02377316862805
4079,USco CTIO 108 b,471.0,4449.2,17.423,2008,Gas Giant,12.32,670.0 AU,70841 years,0.0,USco1621 A,Imaging,,,16h21m29.55s,-25d29m43.2s,3460.0,0.36,,287.8401047842488
4082,V0391 Pegasi b,4567.0,1016.96,14.57,2007,Gas Giant,13.104,1.7 AU,3.2 years,0.0,V0391 Peg,Pulsation Timing Variations,,,22h04m12.11s,+26d25m07.9s,29300.0,0.5,0.23,58.15497770496705
4083,V1298 Tauri b,354.0,75.0008,10.116,2019,Gas Giant,10.2592,0.1688 AU,24.1 days,< 0.29,V1298 Tau,Transit,89.0,,04h05m19.59s,+20d09m25.6s,,1.1,1.34,6.997287114685184
4085,V1298 Tauri d,354.0,10678.08,10.116,2019,Neptune-like,6.406399999999999,0.1083 AU,12.4 days,< 0.21,V1298 Tau,Transit,89.04,,04h05m19.59s,+20d09m25.6s,,1.1,1.34,2554.7938294459964
4086,V1298 Tauri e,354.0,56.8862,10.116,2019,Gas Giant,8.735999999999999,0.308 AU,60 days,< 0.57,V1298 Tau,Transit,89.4,,04h05m19.59s,+20d09m25.6s,,1.1,1.34,7.319349147086087
4087,V830 Tauri b,489.0,222.46,12.377,2016,Gas Giant,14.0,0.057 AU,4.9 days,0.0,V830 Tau,Radial Velocity,55.0,,04h33m10.03s,+24d33m43.4s,4250.0,1.0,2.0,11.145168857246114
4088,VHS J125601.92-125723.9 b,41.0,3559.36,17.759,2015,Gas Giant,12.432,102.0 AU,3895.8 years,0.0,VHS J125601.92-125723.9,Imaging,,,12h56m02.15s,-12d57m21.7s,2620.0,0.07,,226.14172667084884
4089,WASP-100 b,1201.0,400.428,10.615,2014,Gas Giant,14.895999999999999,0.04574 AU,2.8 days,0.0,WASP-1,Transit,90.0,0.348,00h20m40.07s,+31d59m24.0s,,1.24,1.47,17.720497151339647
4090,WASP-101 b,660.0,162.078,10.138,2014,Gas Giant,16.016,0.05057 AU,3.6 days,0.0,WASP-10,Transit,88.49,4.14,23h15m58.30s,+31d27m46.3s,4675.0,0.75,0.7,6.204499300083133
4091,WASP-103 b,1533.0,473.522,12.1,2014,Gas Giant,17.113599999999998,0.01985 AU,0.9 days,< 0.15,WASP-100,Transit,82.6,,04h35m50.33s,-64d01m37.3s,6900.0,0.77,1.57,15.876259856999996
4092,WASP-104 b,466.0,404.2416,11.12,2014,Gas Giant,12.734399999999999,0.02918 AU,1.8 days,0.0,WASP-101,Transit,85.0,,06h33m24.26s,-23d29m10.4s,6380.0,1.41,1.31,24.4779374502954
4093,WASP-105 b,824.0,572.0400000000001,12.1,2017,Gas Giant,10.751999999999999,0.075 AU,7.9 days,0.0,WASP-103,Transit,86.3,0.55,16h37m15.57s,+07d11m00.1s,6110.0,1.22,1.44,48.58908018818933
